item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location
16988832267,277366270,4MEN OFFICIAL,"Áo Khoác Kaki Regular Túi Kiểu 4MEN AK042 trơn đẹp, vải kaki bền dày dặn, nhiều màu, form trẻ trung, thanh lịch",VND,2,2022-10-31,12,20,100011,,645000,645000,645000,-1,-1,0,3,0,0,0,1,2,4.666666666666667,TP. Hồ Chí Minh
9662656558,277366270,4MEN OFFICIAL,"Áo sơ mi nam họa tiết 4MEN SM082 vải trắng in họa tiết đẹp trẻ trung, vải cotton thấm mồ hôi, thoáng mát",VND,4,2021-06-03,125,45,100011,,315000,315000,315000,-1,-1,0,64,0,0,1,2,61,4.9375,TP. Hồ Chí Minh
20384820049,277366270,4MEN OFFICIAL,"Áo sơ mi nam tay ngắn 4MEN SM138 kiểu dáng nẹp nút, đánh bọ trang trí, form regular, vải cotton mềm mịn, co giãn",VND,15,2023-10-03,5,1,100011,,315000,315000,315000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
3690924053,277366270,4MEN OFFICIAL,"Áo thun nam in chữ 4MEN AT087 cổ tròn, ngắn tay, form suông, vải cotton dày dặn, thoáng mát, co giãn, trẻ trung",VND,32,2021-06-04,485,85,100011,,149000,149000,149000,245000,245000,39,198,3,0,1,4,190,4.909090909090909,TP. Hồ Chí Minh
18484840744,277366270,4MEN OFFICIAL,"Áo sơ mi nam dài tay trơn giấu nút 4MEN SM113 vải cao cấp đẹp mềm mịn, co giãn, form slimfit màu thanh lịch, hiện đại",VND,5,2023-10-03,4,0,100011,,375000,375000,375000,-1,-1,0,1,0,1,0,0,0,2.0,TP. Hồ Chí Minh
19618069167,277366270,4MEN OFFICIAL,"Quần Jeans Nam Slimfit Ripped 4MEN QJ055 form ôm vừa vặn, trẻ trung, co giãn tốt, vải mềm bền màu, túi sâu",VND,1,2022-07-01,9,3,100011,,525000,525000,525000,-1,-1,0,4,0,0,0,0,4,5.0,TP. Hồ Chí Minh
22403167903,277366270,4MEN OFFICIAL,"Áo Thun Nam Regular Geometric 4MEN AT110 cổ tròn tay ngắn, phối màu tinh tế, trẻ trung, vải cotton thoáng mát, mềm mại",VND,6,2022-10-31,23,2,100011,,275000,275000,275000,-1,-1,0,9,0,0,0,0,9,5.0,TP. Hồ Chí Minh
21889579707,277366270,4MEN OFFICIAL,"Áo Polo Nam Vải Tổ Ong Cổ Dệt Form Slimfit 4MEN PO109 mềm mại, thấm mồ hôi, thoáng mát, trẻ trung, thanh lịch",VND,5,2023-06-08,20,6,100011,,315000,315000,315000,-1,-1,0,2,1,0,0,0,1,3.0,TP. Hồ Chí Minh
23314710226,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Slimfit Phối Hai Sọc 4MEN SM127 form tôn dáng, vải Poly, Model mềm mịn, đẹp, cổ bẻ, tay dài, trẻ trung",VND,2,2022-12-28,3,2,100011,,345000,345000,345000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
17373780268,277366270,4MEN OFFICIAL,"Áo Thun Nam 4MEN AT092 in Apologize phong cách, phông trơn nhiều màu, dễ phối, vải cotton thoáng mát, thấm mồ hôi tốt",VND,5,2022-06-09,110,17,100011,,245000,245000,245000,-1,-1,0,21,0,0,1,1,19,4.857142857142857,TP. Hồ Chí Minh
18128164493,277366270,4MEN OFFICIAL,"Áo khoác Nam Trơn Regular Thêu Technical 4MEN AK036 basic vải xi nhật dày dặn, chống nắng, thấm mồ hôi tốt, trẻ trung",VND,180,2022-07-27,29,23,100011,,299000,299000,299000,415000,415000,28,15,1,1,0,2,11,4.4,TP. Hồ Chí Minh
19145136812,277366270,4MEN OFFICIAL,"Quần Tây Nam Slimfit Basic Pocket 4MEN QT043 Trơn màu basic dễ mix đồ, form đứng tôn dáng, vải sợi tổng hợp thoáng mát",VND,1,2022-09-13,33,18,100011,,385000,385000,385000,-1,-1,0,10,0,0,0,0,10,5.0,TP. Hồ Chí Minh
23104598876,277366270,4MEN OFFICIAL,"Áo Sweater Nam Tay Dài Regular Sọc Gân 4MEN AS002 cổ tròn phong cách thu đông, vải mềm mại, giữ nhiệt tốt",VND,4,2022-11-09,17,5,100011,,385000,385000,385000,-1,-1,0,5,0,0,0,0,5,5.0,TP. Hồ Chí Minh
